epoch,content_loss,loss,style_loss,val_content_loss,val_loss,val_style_loss
0,375760.9375,4834.04248046875,1.0764330625534058,NA,NA,NA
1,296089.25,4238.84912109375,1.2779569625854492,NA,NA,NA
2,276818.6875,3857.25732421875,1.0890703201293945,NA,NA,NA
3,256363.609375,3900.260498046875,1.3366241455078125,NA,NA,NA
