style,label,num_images,ssim,lpips,kid
starry_night,"alpha=1e5, beta=1e1 (UP+RP)",32,0.7226268649101257,0.007812329567968845,0.8204846382141113
starry_night,"alpha=1e4, beta=1e2 (UP+RP)",32,0.6939829587936401,0.0075265043415129185,0.865185022354126
starry_night,"alpha=1e4, beta=1e2 (no UP/RP)",32,0.414767861366272,0.007884176447987556,0.7878923416137695
starry_night,"alpha=1e-2, beta=1e3 (UP+RP)",32,0.42659908533096313,0.006720174569636583,0.6805920600891113
starry_night,"alpha=1e-3, beta=1e3 (UP+RP)",32,0.15998922288417816,0.006686684675514698,0.5756011009216309
starry_night,"alpha=1e-3, beta=1e4 (UP+RP)",32,0.046130839735269547,0.006753680761903524,0.6429595947265625
